[INFO] [1786467004.567470745] [landing_scout_1]: [scout_1] Landing Controller: ONLINE
[INFO] [1786467009.608142016] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467014.607673951] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467019.608287343] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467024.608209668] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467029.608270160] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467034.607735966] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467039.608350972] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467044.608064193] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467049.607754453] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467054.608084691] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467059.607727977] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467064.607839498] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467069.608199810] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467074.608559365] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467079.607830932] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467084.608556273] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467089.607910134] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467094.608267356] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467099.608103773] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467104.607681153] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467109.607861627] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467114.607620610] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467119.607643112] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467124.608325906] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467129.607845973] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467134.607764980] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467139.608050312] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467144.607609776] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467149.607730074] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467154.607764745] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467159.608272667] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467164.607671215] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467169.608125704] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467174.608261291] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467179.608137343] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467184.607855687] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467189.607924285] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467194.608319809] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467199.607584164] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467204.607662104] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467209.608051393] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467214.609360286] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786467217.830970295] [landing_scout_1]: [scout_1] 🎯 Resting while IDLE (altitude static) — confirming ground contact
[INFO] [1786467219.608261085] [landing_scout_1]: [scout_1] Landing controller state: CONTACT
[INFO] [1786467219.831279903] [landing_scout_1]: [scout_1] ✅ LANDED — stable contact confirmed
