[INFO] [1786187944.821955227] [landing_scout_1]: [scout_1] Landing Controller: ONLINE
[INFO] [1786187949.869037728] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786187954.869497262] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786187959.869439311] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786187964.869676905] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786187969.869427814] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786187974.869402820] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786187979.868908044] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786187984.869690303] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786187989.869058726] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786187994.869448703] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786187999.868839147] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786188004.869401865] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786188009.868925380] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786188014.869307788] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786188019.869506348] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786188024.868931874] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786188029.869470937] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786188034.869581777] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786188039.868851137] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786188044.869495601] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786188049.869071341] [landing_scout_1]: [scout_1] Landing controller state: IDLE
[INFO] [1786188050.329340576] [landing_scout_1]: [scout_1] 🎯 Resting while IDLE (altitude static) — confirming ground contact
[INFO] [1786188052.329823247] [landing_scout_1]: [scout_1] ✅ LANDED — stable contact confirmed
[INFO] [1786188054.869132267] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188059.868952098] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188064.868923261] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188069.869005028] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188074.869425351] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188079.868907049] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188084.869158200] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188089.869766391] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188094.868917783] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188099.869449990] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188104.868967821] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188109.869343206] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188114.869599067] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188119.869360561] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188124.869345013] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188129.868806798] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188134.869454627] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188139.869452873] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188144.869511179] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188149.869410237] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188154.869090327] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188159.868894219] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188164.869260155] [landing_scout_1]: [scout_1] Landing controller state: LANDED
[INFO] [1786188169.869885230] [landing_scout_1]: [scout_1] Landing controller state: LANDED
